             レースID  馬番           pred_score
4426  202307030109   4  44.4792399999999972
4433  202307030110   1  27.4561059999999983
4449  202307030111   1  35.8052750000000017
4453  202307030112  12  41.7756800000000013
4476  202307030201   3  64.9699600000000004
4487  202307030202   9  42.5127299999999977
4499  202307030203   6  31.8805219999999991
4522  202307030204   6  31.3125719999999994
4533  202307030206   5  40.1352959999999968
4549  202307030207   7  35.3608929999999972
4553  202307030208   4  28.1951350000000005
4568  202307030209   1  49.3623770000000022
4589  202307030210   8  40.3378939999999986
4593  202307030211  11   27.284711999999999
4607  202307030212   3  26.7191089999999996
4621  202307030301   1  64.9085699999999974
4631  202307030302   3  40.0840450000000033
4648  202307030303   2  40.0646300000000011
4663  202307030304   2  71.2858049999999963
4676  202307030306   8  32.2582049999999967
4695  202307030307   6  27.5072960000000002
4708  202307030308  11  43.9675200000000004
4723  202307030309  10  48.5185469999999981
4735  202307030310   3  32.2575069999999968
4752  202307030311  11  41.5383830000000032
4763  202307030312  13  35.2764400000000009
4778  202307030401   3  34.8675229999999985
4787  202307030402   3  48.4401700000000019
4809  202307030403   3  35.2567999999999984
4815  202307030404   8  31.9787709999999983
4833  202307030407   9  44.2230530000000002
4857  202307030408   6  40.3072000000000017
4871  202307030409  18  31.7266849999999998
4881  202307030410  11  40.1928669999999997
4904  202307030411   4   31.491848000000001
4917  202307030412   2  35.6624800000000022
4919  202307030501   6  26.2386200000000009
4936  202307030502   3  39.4180869999999999
4950  202307030503  15  31.5779059999999987
4970  202307030504  11  44.3370499999999979
4982  202307030507  10  40.5937959999999975
4987  202307030508   4  44.4493500000000026
4991  202307030509   6  35.3012469999999965
5013  202307030510   4  40.4214249999999993
5025  202307030511   5  44.3763470000000027
5026  202307030512   3  27.5997750000000011
5042  202307030601   5  64.9085699999999974
5057  202307030602  13  27.9993839999999992
5082  202307030603   1   31.463356000000001
5091  202307030604   4  40.0077929999999995
5101  202307030606   6  44.4767879999999991
5126  202307030607   6  42.2140899999999988
5139  202307030608   3  30.8443280000000009
5162  202307030609  14   44.488506000000001
5163  202307030610  10  31.6210169999999984
5177  202307030611   7  40.3045299999999997
5193  202307030612   2            27.175217
5207  202307030701   5  64.9085699999999974
5227  202307030702   5  40.3328739999999968
5244  202307030703  16  27.0759240000000005
5247  202307030704   2  71.9226699999999965
5268  202307030706   4   32.140349999999998
5275  202307030707   8  36.7373800000000017
5293  202307030708   4   48.597724999999997
5306  202307030709   9  44.8115840000000034
5327  202307030710   3  27.6801990000000018
5334  202307030711   2  31.3549499999999988
5350  202307030712   6  40.4427760000000021
5363  202307030801   7  34.9395999999999987
5371  202307030802   5  30.6288780000000003
5397  202307030803  10 102.1669200000000046
5415  202307030804  14  27.8471499999999992
5426  202307030806  10  39.5402529999999999
5438  202307030807   1  45.3123000000000005
5455  202307030808  16  31.4820230000000016
5478  202307030809   5  35.8042400000000001
5489  202307030810  15  27.9004200000000004
5499  202307030811   8  35.9090649999999982
5520  202307030812  14  31.5579810000000016
5527  202307040101  15  30.6288780000000003
5551  202307040102  10  39.4804529999999971
5564  202307040103   1  31.8420799999999993
5569  202307040104   5  26.3106140000000011
5581  202307040105   3  40.1017900000000012
5597  202307040106  10  37.1829999999999998
5612  202307040107  12  43.0753330000000005
5631  202307040108  15  27.8298950000000005
5648  202307040109   1  42.5582800000000034
5667  202307040110   3   36.238864999999997
5672  202307040111   2  31.5456639999999986
5687  202307040112   2  44.5825499999999977
